date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:36	37409/37409	---M--	200	added ('OK')	image/gif	date:Thu,%2013%20Nov%202014%2020:07:54%20GMT	http://www.fibersensing.com/public/files/market/civil-predio-5.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-predio-5.gif	(from http://www.fibersensing.com/market/civil)
18:45:37	37000/37000	---M--	200	added ('OK')	image/gif	date:Thu,%2013%20Nov%202014%2020:08:08%20GMT	http://www.fibersensing.com/public/files/market/civil-predio-6.gif	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-predio-6.gif	(from http://www.fibersensing.com/market/civil)
18:45:38	298624/298624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202015%2020:02:57%20GMT	http://www.fibersensing.com/public/imgs/fb/market-civil.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/imgs/fb/market-civil.jpg	(from http://www.fibersensing.com/market/civil)
18:45:38	12955/12955	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202015%2010:45:38%20GMT	http://www.fibersensing.com/public/files/market/civil-video-world.ogg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-video-world.129.delayed	(from http://www.fibersensing.com/market/civil)
18:45:41	20801/20801	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Sep%202014%2014:14:11%20GMT	http://www.fibersensing.com/public/files/market/civil-paralax-graph.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-paralax-graph.png	(from http://www.fibersensing.com/market/civil)
18:45:43	28615/28615	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Sep%202014%2014:14:08%20GMT	http://www.fibersensing.com/public/files/market/civil-paralax-graph2.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-paralax-graph2.png	(from http://www.fibersensing.com/market/civil)
18:45:44	17437/17437	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:45:44%20GMT	http://www.fibersensing.com/market/civil/view/temperature-monitoring-ponte-de-leca	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/temperature-monitoring-ponte-de-leca.html	(from http://www.fibersensing.com/market/civil)
18:46:08	157993/157993	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2016:11:18%20GMT	http://www.fibersensing.com/media/applications/37/type1_le_a.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/37/type1_le_a.jpg	(from http://www.fibersensing.com/market/civil)
18:46:09	17517/17517	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:09%20GMT	http://www.fibersensing.com/market/civil/view/shm-of-concrete-bridge	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/shm-of-concrete-bridge.html	(from http://www.fibersensing.com/market/civil)
18:46:27	100164/100164	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Oct%202014%2015:46:17%20GMT	http://www.fibersensing.com/media/applications/6/type3_dsc08506_source_1.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/6/type3_dsc08506_source_1.jpg	(from http://www.fibersensing.com/market/civil)
18:46:28	17478/17478	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:29%20GMT	http://www.fibersensing.com/market/civil/view/shm	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/shm.html	(from http://www.fibersensing.com/market/civil)
18:46:45	93123/93123	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2016:08:13%20GMT	http://www.fibersensing.com/media/applications/36/type3_dsc04771.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/36/type3_dsc04771.jpg	(from http://www.fibersensing.com/market/civil)
18:46:46	17442/17442	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:46%20GMT	http://www.fibersensing.com/market/civil/view/stress-monitoring-aveiro	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/stress-monitoring-aveiro.html	(from http://www.fibersensing.com/market/civil)
18:46:46	0/0	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:47%20GMT	http://www.fibersensing.com/market/civil/template1/1	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/template1/1.html	(from http://www.fibersensing.com/market/civil)
18:46:47	0/0	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:47%20GMT	http://www.fibersensing.com/market/civil/template1/2	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/template1/2.html	(from http://www.fibersensing.com/market/civil)
18:46:48	0/0	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:48%20GMT	http://www.fibersensing.com/market/civil/template1/3	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/template1/3.html	(from http://www.fibersensing.com/market/civil)
18:46:50	407090/407090	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Oct%202014%2015:48:38%20GMT	http://www.fibersensing.com/media/applications/2/img_0167_source_1.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/2/img_0167_source_1.jpg	(from http://www.fibersensing.com/market/civil)
18:46:51	17819/17819	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:46:52%20GMT	http://www.fibersensing.com/market/civil/view/deformation-and-convergence-measurement	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/civil/view/deformation-and-convergence-measurement.html	(from http://www.fibersensing.com/market/civil)
18:47:11	108502/108502	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2015:47:44%20GMT	http://www.fibersensing.com/media/applications/9/type3_photo_0573.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/9/type3_photo_0573.jpg	(from http://www.fibersensing.com/market/civil)
